Freq(cm-1)            TrDip(D)   J"   E"
  2328.247        0.1486311392   15  9481.980
  2354.953        0.1468046185   14  9193.847
  2381.238        0.1449855100   13  8924.102
  2407.089        0.1431737867   12  8672.914
  2432.495        0.1413693724   11  8440.439
  2457.442        0.1395721437   10  8226.821
  2481.918        0.1377819306    9  8032.195
  2505.910        0.1359985180    8  7856.682
  2529.406        0.1342216460    7  7700.392
  2552.392        0.1324510102    6  7563.423
  2574.857        0.1306862625    5  7445.861
  2596.787        0.1289270103    4  7347.780
  2618.170        0.1271728172    3  7269.241
  2638.993        0.1254232019    2  7210.293
  2659.244        0.1236776382    1  7170.974
  2697.978        0.1201963295    0  7151.308
  2716.437        0.1184592984    1  7170.974
  2734.274        0.1167237440    2  7210.293
  2751.478        0.1149888990    3  7269.241
  2768.036        0.1132539432    4  7347.780
  2783.937        0.1115180015    5  7445.861
  2799.169        0.1097801416    6  7563.423
  2813.721        0.1080393714    7  7700.392
  2827.581        0.1062946361    8  7856.682
  2840.739        0.1045448147    9  8032.195
  2853.182        0.1027887165   10  8226.821
  2864.902        0.1010250774   11  8440.439
  2875.886        0.0992525550   12  8672.914
  2886.124        0.0974697240   13  8924.102
  2895.606        0.0956750709   14  9193.847
