Freq(cm-1)                 FCF               TRDIP
  3516.345        0.205458E-14        0.187888E-01
  6856.609        0.976035E-15       -0.103737E-01
 10019.960       -0.105233E-14        0.181323E-02
 13004.045       -0.222295E-15       -0.324723E-03
 15804.905        0.257202E-15        0.723875E-04
 18416.835       -0.188092E-15       -0.262866E-04
 20832.026        0.132991E-15        0.159742E-04
 23039.969       -0.149853E-17       -0.115757E-04
 25026.471       -0.138256E-15        0.816742E-05
 26772.230        0.161120E-16       -0.535173E-05
 28250.909       -0.174575E-15        0.327851E-05
 29427.370        0.186642E-15       -0.192756E-05
 30259.908       -0.490109E-16        0.111472E-05
 30720.714        0.638857E-16       -0.606041E-06
