                                                  
                                                                                                                                                                                                                                                                
   DIST        E
    3.3   1054.149796
    3.4   1054.150153
    3.5   1054.150364
    3.6   1054.150479
    3.7   1054.150533
    3.8   1054.150547
    3.9   1054.150537
    4.0   1054.150514
    4.1   1054.150483
    4.2   1054.150450
    4.3   1054.150416
    4.4   1054.150383
    4.5   1054.150353
    4.6   1054.150326
    4.7   1054.150301
    4.8   1054.150279
    4.9   1054.150260
    5.0   1054.150243
    5.1   1054.150228
    5.2   1054.150215
    5.3   1054.150204
    5.4   1054.150194
    5.5   1054.150185
    5.6   1054.150177
    5.7   1054.150170
    5.8   1054.150164
    5.9   1054.150158
    6.0   1054.150153
    6.1   1054.150149
    6.2   1054.150145
    6.3   1054.150142
    6.4   1054.150139
    6.5   1054.150136
    6.6   1054.150134
    6.7   1054.150131
    6.8   1054.150129
    6.9   1054.150128
    7.0   1054.150126
    7.1   1054.150125
    7.2   1054.150123
    7.3   1054.150122
    7.4   1054.150121
    7.5   1054.150120
                                                  
