                                                  
                                                                                                                                                                                                                                                                
    DIST  E_UNCORRECTED    E_CORRECTED
     3.3   -1053.938583   -1053.938251
     3.4   -1053.939040   -1053.938766
     3.5   -1053.939333   -1053.939100
     3.6   -1053.939516   -1053.939311
     3.7   -1053.939626   -1053.939439
     3.8   -1053.939687   -1053.939512
     3.9   -1053.939716   -1053.939550
     4.0   -1053.939723   -1053.939565
     4.1   -1053.939716   -1053.939567
     4.2   -1053.939700   -1053.939560
     4.3   -1053.939679   -1053.939549
     4.4   -1053.939656   -1053.939535
     4.5   -1053.939632   -1053.939521
     4.6   -1053.939609   -1053.939507
     4.7   -1053.939587   -1053.939493
     4.8   -1053.939567   -1053.939480
     4.9   -1053.939548   -1053.939469
     5.0   -1053.939531   -1053.939458
     5.1   -1053.939516   -1053.939449
     5.2   -1053.939501   -1053.939440
     5.3   -1053.939488   -1053.939433
     5.4   -1053.939476   -1053.939426
     5.5   -1053.939465   -1053.939420
     5.6   -1053.939455   -1053.939415
     5.7   -1053.939446   -1053.939410
     5.8   -1053.939438   -1053.939406
     5.9   -1053.939431   -1053.939402
     6.0   -1053.939424   -1053.939399
     6.1   -1053.939418   -1053.939396
     6.2   -1053.939413   -1053.939394
     6.3   -1053.939408   -1053.939391
     6.4   -1053.939403   -1053.939389
     6.5   -1053.939400   -1053.939387
     6.6   -1053.939396   -1053.939386
     6.7   -1053.939393   -1053.939384
     6.8   -1053.939390   -1053.939383
     6.9   -1053.939388   -1053.939382
     7.0   -1053.939386   -1053.939381
     7.1   -1053.939384   -1053.939380
     7.2   -1053.939382   -1053.939379
     7.3   -1053.939381   -1053.939378
     7.4   -1053.939380   -1053.939377
     7.5   -1053.939379   -1053.939377
     7.6   -1053.939378   -1053.939376
     7.7   -1053.939377   -1053.939376
     7.8   -1053.939376   -1053.939375
     7.9   -1053.939375   -1053.939375
     8.0   -1053.939375   -1053.939374
     8.1   -1053.939374   -1053.939374
     8.2   -1053.939374   -1053.939374
     8.3   -1053.939374   -1053.939373
     8.4   -1053.939373   -1053.939373
     8.5   -1053.939373   -1053.939373
     8.6   -1053.939373   -1053.939372
     8.7   -1053.939372   -1053.939372
     8.8   -1053.939372   -1053.939372
     8.9   -1053.939372   -1053.939372
     9.0   -1053.939372   -1053.939372
     9.1   -1053.939372   -1053.939372
     9.2   -1053.939371   -1053.939371
     9.3   -1053.939371   -1053.939371
     9.4   -1053.939371   -1053.939371
     9.5   -1053.939371   -1053.939371
     9.6   -1053.939371   -1053.939371
     9.7   -1053.939371   -1053.939371
     9.8   -1053.939371   -1053.939371
     9.9   -1053.939371   -1053.939371
    10.0   -1053.939370   -1053.939370
    10.1   -1053.939370   -1053.939370
    10.2   -1053.939370   -1053.939370
    10.3   -1053.939370   -1053.939370
    10.4   -1053.939370   -1053.939370
    10.5   -1053.939370   -1053.939370
    10.6   -1053.939370   -1053.939370
    10.7   -1053.939370   -1053.939370
    10.8   -1053.939370   -1053.939370
    10.9   -1053.939370   -1053.939370
    11.0   -1053.939370   -1053.939370
    11.1   -1053.939370   -1053.939370
    11.2   -1053.939370   -1053.939370
    11.3   -1053.939370   -1053.939370
    11.4   -1053.939370   -1053.939370
    11.5   -1053.939370   -1053.939370
    11.6   -1053.939370   -1053.939370
    11.7   -1053.939370   -1053.939370
    11.8   -1053.939370   -1053.939370
    11.9   -1053.939370   -1053.939370
    12.0   -1053.939370   -1053.939370
    12.1   -1053.939370   -1053.939370
    12.2   -1053.939370   -1053.939370
    12.3   -1053.939370   -1053.939370
    12.4   -1053.939370   -1053.939370
    12.5   -1053.939370   -1053.939370
                                                  
