                                                  
                                                                                                                                                                                                                                                                
   DIST  E_UNCORRECTED       E_CORRECTED
    3.3   -1054.097111    6.54573191E-04
    3.4   -1054.097504    2.29344856E-04
    3.5   -1054.097740   -3.53152368E-05
    3.6   -1054.097870   -1.91971572E-04
    3.7   -1054.097931   -2.77083803E-04
    3.8   -1054.097950   -3.15749390E-04
    3.9   -1054.097943   -3.25090422E-04
    4.0   -1054.097921   -3.16665378E-04
    4.1   -1054.097892   -2.98164386E-04
    4.2   -1054.097860   -2.74613066E-04
    4.3   -1054.097828   -2.49208787E-04
                                                  
