                                                  
                                                                                                                                                                                                                                                                
      DIST             E
    3.30000000   -1054.149796
    3.40243902   -1054.150159
    3.50487805   -1054.150371
    3.60731707   -1054.150485
    3.70975610   -1054.150536
    3.81219512   -1054.150547
    3.91463415   -1054.150535
    4.01707317   -1054.150509
    4.11951220   -1054.150477
    4.22195122   -1054.150442
    4.32439024   -1054.150408
    4.42682927   -1054.150375
    4.52926829   -1054.150345
    4.63170732   -1054.150317
    4.73414634   -1054.150293
    4.83658537   -1054.150272
    4.93902439   -1054.150253
    5.04146341   -1054.150237
    5.14390244   -1054.150222
    5.24634146   -1054.150210
    5.34878049   -1054.150199
    5.45121951   -1054.150189
    5.55365854   -1054.150180
    5.65609756   -1054.150173
    5.75853659   -1054.150166
    5.86097561   -1054.150160
    5.96341463   -1054.150155
    6.06585366   -1054.150150
    6.16829268   -1054.150146
    6.27073171   -1054.150143
    6.37317073   -1054.150140
    6.47560976   -1054.150137
    6.57804878   -1054.150134
    6.68048780   -1054.150132
    6.78292683   -1054.150130
    6.88536585   -1054.150128
    6.98780488   -1054.150126
    7.09024390   -1054.150125
    7.19268293   -1054.150124
    7.29512195   -1054.150122
    7.39756098   -1054.150121
    7.50000000   -1054.150120
                                                  
