                                                  
                                                                                                                                                                                                                                                                
   DIST         E
    3.3   -1054.097111
    3.4   -1054.097504
    3.5   -1054.097740
    3.6   -1054.097870
    3.7   -1054.097931
    3.8   -1054.097950
    3.9   -1054.097943
    4.0   -1054.097921
    4.1   -1054.097892
    4.2   -1054.097860
    4.3   -1054.097828
    4.4   -1054.097798
    4.5   -1054.097769
    4.6   -1054.097743
    4.7   -1054.097719
    4.8   -1054.097697
    4.9   -1054.097677
    5.0   -1054.097660
    5.1   -1054.097644
    5.2   -1054.097630
    5.3   -1054.097618
    5.4   -1054.097607
    5.5   -1054.097597
    5.6   -1054.097588
    5.7   -1054.097581
    5.8   -1054.097574
    5.9   -1054.097568
    6.0   -1054.097562
    6.1   -1054.097558
    6.2   -1054.097553
    6.3   -1054.097550
    6.4   -1054.097546
    6.5   -1054.097543
    6.6   -1054.097541
    6.7   -1054.097538
    6.8   -1054.097536
    6.9   -1054.097534
    7.0   -1054.097532
    7.1   -1054.097531
    7.2   -1054.097530
    7.3   -1054.097528
    7.4   -1054.097527
    7.5   -1054.097526
                                                  
