                                                  
                                                                                                                                                                                                                                                                
    DIST         E
     3.3   -1054.149796
     3.4   -1054.150153
     3.5   -1054.150364
     3.6   -1054.150479
     3.7   -1054.150533
     3.8   -1054.150547
     3.9   -1054.150537
     4.0   -1054.150514
     4.1   -1054.150483
     4.2   -1054.150450
     4.3   -1054.150416
     4.4   -1054.150383
     4.5   -1054.150353
     4.6   -1054.150326
     4.7   -1054.150301
     4.8   -1054.150279
     4.9   -1054.150260
     5.0   -1054.150243
     5.1   -1054.150228
     5.2   -1054.150215
     5.3   -1054.150204
     5.4   -1054.150194
     5.5   -1054.150185
     5.6   -1054.150177
     5.7   -1054.150170
     5.8   -1054.150164
     5.9   -1054.150158
     6.0   -1054.150153
     6.1   -1054.150149
     6.2   -1054.150145
     6.3   -1054.150142
     6.4   -1054.150139
     6.5   -1054.150136
     6.6   -1054.150134
     6.7   -1054.150131
     6.8   -1054.150129
     6.9   -1054.150128
     7.0   -1054.150126
     7.1   -1054.150125
     7.2   -1054.150123
     7.3   -1054.150122
     7.4   -1054.150121
     7.5   -1054.150120
     7.6   -1054.150120
     7.7   -1054.150119
     7.8   -1054.150118
     7.9   -1054.150117
     8.0   -1054.150117
     8.1   -1054.150116
     8.2   -1054.150116
     8.3   -1054.150116
     8.4   -1054.150115
     8.5   -1054.150115
     8.6   -1054.150115
     8.7   -1054.150114
     8.8   -1054.150114
     8.9   -1054.150114
     9.0   -1054.150114
     9.1   -1054.150113
     9.2   -1054.150113
     9.3   -1054.150113
     9.4   -1054.150113
     9.5   -1054.150113
     9.6   -1054.150113
     9.7   -1054.150112
     9.8   -1054.150112
     9.9   -1054.150112
    10.0   -1054.150112
    10.1   -1054.150112
    10.2   -1054.150112
    10.3   -1054.150112
    10.4   -1054.150112
    10.5   -1054.150112
    10.6   -1054.150112
    10.7   -1054.150112
    10.8   -1054.150112
    10.9   -1054.150112
    11.0   -1054.150112
    11.1   -1054.150111
    11.2   -1054.150111
    11.3   -1054.150111
    11.4   -1054.150111
    11.5   -1054.150111
    11.6   -1054.150111
    11.7   -1054.150111
    11.8   -1054.150111
    11.9   -1054.150111
    12.0   -1054.150111
    12.1   -1054.150111
    12.2   -1054.150111
    12.3   -1054.150111
    12.4   -1054.150111
    12.5   -1054.150111
                                                  
