                                                  
                                                                                                                                                                                                                                                                
   DIST         E
    3.3   -1054.083684
    3.4   -1054.084116
    3.5   -1054.084391
    3.6   -1054.084560
    3.7   -1054.084659
    3.8   -1054.084712
    3.9   -1054.084734
    4.0   -1054.084738
    4.1   -1054.084731
    4.2   -1054.084717
    4.3   -1054.084699
    4.4   -1054.084681
    4.5   -1054.084663
    4.6   -1054.084645
    4.7   -1054.084629
    4.8   -1054.084615
    4.9   -1054.084602
    5.0   -1054.084591
    5.1   -1054.084580
    5.2   -1054.084572
    5.3   -1054.084564
    5.4   -1054.084557
    5.5   -1054.084550
    5.6   -1054.084545
    5.7   -1054.084540
    5.8   -1054.084536
    5.9   -1054.084532
    6.0   -1054.084528
    6.1   -1054.084525
    6.2   -1054.084522
    6.3   -1054.084520
    6.4   -1054.084518
    6.5   -1054.084516
    6.6   -1054.084514
    6.7   -1054.084512
    6.8   -1054.084511
    6.9   -1054.084510
    7.0   -1054.084509
    7.1   -1054.084508
    7.2   -1054.084507
    7.3   -1054.084506
    7.4   -1054.084505
    7.5   -1054.084504
                                                  
