                                                  
                                                                                                                                                                                                                                                                
   BETA_INT_ROT     E_INT_ROT  E_INT_ROT_OPTG
         -180.0    3.25459401      2.76775924
         -170.0    3.07618314      2.61897321
         -160.0    2.57364917      2.19837933
         -150.0    1.84272322      1.58253364
         -140.0    1.03557807      0.89583062
         -130.0    0.34906777      0.30462942
         -120.0    0.00728494      0.00641926
         -110.0    0.23818180      0.21211845
         -100.0    1.24537094      1.12031622
          -90.0    3.17840997      2.88493494
          -80.0    6.10667343      5.58111581
          -70.0   10.00115981      9.17630759
          -60.0   14.72406550     13.51266597
          -50.0   20.02126225     18.30542262
          -40.0   25.51522790     23.16061685
          -30.0   30.70913806     27.61688330
          -20.0   35.02586536     31.20924482
          -10.0   37.90017969     33.54171853
            0.0   38.91059905     34.35006584
           10.0   37.90018805     33.54171264
           20.0   35.02588046     31.20923793
           30.0   30.70915704     27.61688822
           40.0   25.51524753     23.16062707
           50.0   20.02127675     18.30544136
           60.0   14.72407489     13.51268320
           70.0   10.00116856      9.17629083
           80.0    6.10668135      5.58114729
           90.0    3.17841727      2.88493579
          100.0    1.24537775      1.12032311
          110.0    0.23818827      0.21212722
          120.0    0.00729113      0.00642772
          130.0    0.34907359      0.30463523
          140.0    1.03558330      0.89583434
          150.0    1.84272756      1.58253354
          160.0    2.57365232      2.19838148
          170.0    3.07618481      2.61896653
                                                  
