                                                  
                                                                                                                                                                                                                                                                
       DIST           DE_HF    DE_MULTI       DE_CI         DIP
     0.50000000    1.67D+05    1.50D+05   146843.76   5.43855513D-01
     0.54773869    1.10D+05    9.38D+04    89915.45   5.54834062D-01
     0.59547739    7.02D+04    5.38D+04    49752.25   5.67564431D-01
     0.64321608    4.18D+04    2.58D+04    21483.14   5.81706396D-01
     0.69095477    2.20D+04    6.16D+03     1749.04   5.96556236D-01
     0.73869347    8.21D+03   -7.31D+03   -11832.50   6.11381365D-01
     0.78643216   -1.13D+03   -1.64D+04   -20955.01   6.25498627D-01
     0.83417085   -7.25D+03   -2.22D+04   -26833.29   6.38323829D-01
     0.88190955   -1.10D+04   -2.57D+04   -30346.92   6.49378651D-01
     0.92964824   -1.31D+04   -2.75D+04   -32138.70   6.58277809D-01
     0.97738693   -1.40D+04   -2.81D+04   -32682.23   6.64707934D-01
     1.02512563   -1.40D+04   -2.78D+04   -32328.78   6.68405302D-01
     1.07286432   -1.34D+04   -2.69D+04   -31340.17   6.69138577D-01
     1.12060302   -1.24D+04   -2.56D+04   -29912.39   6.66700775D-01
     1.16834171   -1.12D+04   -2.40D+04   -28192.76   6.60911055D-01
     1.21608040   -9.93D+03   -2.22D+04   -26292.62   6.51624628D-01
     1.26381910   -8.62D+03   -2.04D+04   -24296.45   6.38747479D-01
     1.31155779   -7.38D+03   -1.86D+04   -22268.53   6.22255629D-01
     1.35929648   -6.24D+03   -1.68D+04   -20257.77   6.02210800D-01
     1.40703518   -5.23D+03   -1.50D+04   -18301.07   5.78854109D-01
     1.45477387   -4.36D+03   -1.34D+04   -16425.84   5.52261546D-01
     1.50251256   -3.62D+03   -1.18D+04   -14651.86   5.22871788D-01
     1.55025126   -3.00D+03   -1.04D+04   -12992.67   4.91120173D-01
     1.59798995   -2.48D+03   -9.11D+03   -11456.76   4.57537719D-01
     1.64572864   -2.05D+03   -7.93D+03   -10048.46   4.22653899D-01
     1.69346734   -1.70D+03   -6.87D+03    -8768.72   3.87099789D-01
     1.74120603   -1.40D+03   -5.93D+03    -7615.71   3.51496583D-01
     1.78894472   -1.16D+03   -5.09D+03    -6585.40   3.16457980D-01
     1.83668342   -9.58D+02   -4.36D+03    -5671.97   2.82546303D-01
     1.88442211   -7.92D+02   -3.72D+03    -4868.24   2.50252809D-01
     1.93216080   -6.55D+02   -3.17D+03    -4166.06   2.19972480D-01
     1.97989950   -5.42D+02   -2.70D+03    -3556.65   1.91990539D-01
     2.02763819   -4.49D+02   -2.29D+03    -3030.92   1.66479291D-01
     2.07537688   -3.72D+02   -1.94D+03    -2579.81   1.43504541D-01
     2.12311558   -3.09D+02   -1.65D+03    -2194.48   1.23040243D-01
     2.17085427   -2.57D+02   -1.40D+03    -1866.58   1.04987794D-01
     2.21859296   -2.14D+02   -1.19D+03    -1588.37   8.91966971D-02
     2.26633166   -1.79D+02   -1.01D+03    -1352.80   7.54839326D-02
     2.31407035   -1.50D+02   -8.59D+02    -1153.57   6.36503650D-02
     2.36180905   -1.26D+02   -7.33D+02     -985.14   5.34934848D-02
     2.40954774   -1.06D+02   -6.26D+02     -842.71   4.48165155D-02
     2.45728643   -9.00D+01   -5.36D+02     -722.13   3.74343422D-02
     2.50502513   -7.65D+01   -4.60D+02     -619.90   3.11769124D-02
     2.55276382   -6.51D+01   -3.95D+02     -533.07   2.58907746D-02
     2.60050251   -5.57D+01   -3.40D+02     -459.15   2.14393240D-02
     2.64824121   -4.78D+01   -2.92D+02     -396.10   1.77022197D-02
     2.69597990   -4.12D+01   -2.52D+02     -342.19   1.45744617D-02
     2.74371859   -3.56D+01   -2.18D+02     -296.02   1.19644297D-02
     2.79145729   -3.09D+01   -1.88D+02     -256.39   9.79323695D-03
     2.83919598   -2.69D+01   -1.63D+02     -222.34   7.99379177D-03
     2.88693467   -2.35D+01   -1.41D+02     -193.03   6.50749434D-03
     2.93467337   -2.06D+01   -1.22D+02     -167.77   5.28804082D-03
     2.98241206   -1.82D+01   -1.06D+02     -145.99   4.28537998D-03
     3.03015075   -1.61D+01   -9.22D+01     -127.18   3.46735325D-03
     3.07788945   -1.43D+01   -8.02D+01     -110.93   2.80316086D-03
     3.12562814   -1.28D+01   -6.99D+01      -96.87   2.26663927D-03
     3.17336683   -1.14D+01   -6.09D+01      -84.69   1.83562978D-03
     3.22110553   -1.02D+01   -5.32D+01      -74.12   1.49132656D-03
     3.26884422   -9.22D+00   -4.65D+01      -64.95   1.21793289D-03
     3.31658291   -8.32D+00   -4.07D+01      -56.96   1.00215467D-03
     3.36432161   -7.52D+00   -3.57D+01      -50.00   8.32867977D-04
     3.41206030   -6.81D+00   -3.13D+01      -43.92   7.00810565D-04
     3.45979899   -6.18D+00   -2.75D+01      -38.61   5.98315233D-04
     3.50753769   -5.61D+00   -2.41D+01      -33.95   5.19076166D-04
     3.55527638   -5.09D+00   -2.12D+01      -29.85   4.57947183D-04
     3.60301508   -4.62D+00   -1.86D+01      -26.26   4.10763603D-04
     3.65075377   -4.19D+00   -1.64D+01      -23.09   3.74187156D-04
